State,FunctionalCategory,AgencyOrDivision,Title,Description,Format,Link,,,
Maryland,DMV/Disability,Motor Vehicle Administration,Application for Disabled Parking Placard/License Plate,Primary placard application with full accessibility note for individuals and organizations.,PDF,https://mva.maryland.gov/Documents/DisabledParkingForm.pdf,,,
Maryland,Education/SpecialEd,Dept. of Education,IEP/504 Forms Packet - 2025,"IEP/504 forms and instructions for parents, guardians, and special ed teachers.",PDF,https://marylandpublicschools.org/forms/iep504-forms.pdf,,,
Maryland,Legal/Elder,Dept. of Aging,Legal Services Intake—Elder/Disabled,DOCX intake for elder law and disability benefit matters—remediation target.,DOCX,https://aging.maryland.gov/forms/LegalIntakeForm.docx,,,
Massachusetts,Disability/Workforce,Dept. of Workforce Development,Workforce Disability Services Application,"Fillable PDF for MA Workforce/Unemployment Services, ADA/alternate formats note.",PDF,https://www.mass.gov/doc/workforce-application-disability.pdf,,,
Massachusetts,Disability/Medical,Dept. of Health & Human Services,Disability Certification—MassHealth/Medicare,"Medical provider certification required for MassHealth, SSI, and major public benefits.",PDF,https://www.mass.gov/doc/DisabilityCertificationForm.pdf,,,
Massachusetts,Vocational Rehabilitation,Mass Rehab Commission,Application for VR Services,"Primary intake, eligibility, and medical documentation PDF for VR Programs.",PDF,https://www.mass.gov/doc/VRApplication.pdf,,,
Massachusetts,Disability/Legal,Judicial Branch,ADA Accommodation & Grievance Request—Courts,PDF form for requesting ADA accommodations or submitting court grievances.,PDF,https://www.mass.gov/doc/ADAAccommodationGrievanceRequestCourt.pdf,,,
Massachusetts,Education/SpecialEd,Dept. of Education,IEP/504 Forms—2025,"Parent, teacher, and student forms for special ed and Section 504.",PDF,https://www.doe.mass.edu/forms/iep-forms.pdf,,,
Massachusetts,DMV/Disability,Registry of Motor Vehicles,Disabled Parking Placard/Plate Application,"Accessible, fillable parking application for MA residents with disabilities.",PDF,https://www.mass.gov/doc/DisabledParkingPlacardPlateApplication.pdf,,,
Massachusetts,Legal/Elder,Dept. of Elder Affairs,Legal Intake—Elder/Disabled,DOCX intake for elder/disability legal aid cases—remediation priority.,DOCX,https://elderaffairs.mass.gov/LegalIntakeForm.docx,,,
Michigan,Disability/Workforce,Dept. of Labor & Economic Opportunity,Workforce Disability Benefits Application,Full unemployment and workforce training application for Michigan residents. ADA statement included.,PDF,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WDA/forms/Disability-Workforce-Application.pdf,,,
Michigan,Disability/Medical,Dept. of Health & Human Services,Disability Certification/Provider Form,PDF for Medicaid/SSI/Disability program eligibility.,PDF,https://www.michigan.gov/-/media/Project/Websites/michigan/Documents/DisabilityCertificationForm.pdf,,,
Michigan,Vocational Rehabilitation,Dept. of Health & Human Services,VR Services Intake Application,Fillable VR intake with employment and accessibility fields.,PDF,https://www.michigan.gov/documents/mdhhs/VRServicesIntakeForm.pdf,,,
Michigan,Disability/Legal,Judicial Branch,ADA Accommodation/Grievance Request—Courts,"Statewide ADA request for public services, legal, and court filings.",PDF,https://courts.michigan.gov/forms/ADAAccommodationRequest.pdf,,,
Michigan,Education/SpecialEd,Dept. of Education,IEP/504 Packet—2025,IDEA/IEP/Section 504 forms and parent/student handbook.,PDF,https://www.michigan.gov/documents/mde/IEPForms2025.pdf,,,
Michigan,DMV/Disability,Secretary of State,Parking Placard/Plate Disability Application,Primary parking placard and accessible vehicle plate application.,PDF,https://www.michigan.gov/-/media/Project/Websites/sos/Forms/DisabilityParkingPlacardPlateApplication.pdf,,,
Michigan,Legal/Elder,Dept. of Aging,Legal Intake—Elder/Disabled,"DOCX intake for elder/disability legal issues, benefits disputes, and documentation (remediation target).",DOCX,https://www.michigan.gov/documents/aging/LegalServicesIntake.docx,,,
Minnesota,Disability/Medical,Dept. of Health,Disability Certification/Provider Form,"Fillable PDF for disability eligibility from healthcare provider (state, Medicaid, unemployment, public assistance).",PDF,https://www.health.state.mn.us/forms/disability-certification.pdf,,,
Minnesota,Disability/Workforce,Dept. of Employment & Economic Development,Disability Benefits Application/Workforce Intake,"Comprehensive intake for Minnesota Workforce, UI, VR, and ADA.",PDF,https://mn.gov/deed/assets/workforce-disability-application_tcm1045-132864.pdf,,,
Minnesota,Vocational Rehabilitation,Dept. of Employment & Economic Development,VR Services Client Intake Application,"Fillable VR application for disabled, adult, youth, or special needs.",PDF,https://mn.gov/vocrehab/docs/VRServicesIntake.pdf,,,
Minnesota,Disability/Legal,Judicial Branch,ADA Accommodation/Grievance Request—State Courts,Statewide ADA court request system; printable and online options.,PDF,https://www.mncourts.gov/forms/ADAAccommodationRequest.pdf,,,
Minnesota,Education/SpecialEd,Dept. of Education,IEP/504 Forms—2025,Special ed and Section 504 legal forms for public school districts.,PDF,https://education.mn.gov/IEP504Forms2025.pdf,,,
Minnesota,DMV/Disability,Dept. of Public Safety,Parking Permit/Disability Certification,"Accessible parking permit, placard, or plate application with medical eligibility requirements.",PDF,https://dps.mn.gov/divisions/dvs/forms-documents/Documents/DisabilityParkingApplication.pdf,,,
Minnesota,Legal/Elder,Dept. of Human Services,Legal Intake—Elder/Disabled,DOCX intake for all elder and disability cases—remediation priority.,DOCX,https://mn.gov/dhs/LegalIntakeForm.docx,,,
Mississippi,Disability/Medical,Dept. of Health,Disability/Medical Certification Form,"Used for Medicaid, SNAP, SSI eligibility (doctor-completed)",PDF,https://msdh.ms.gov/disabilitycertificationform.pdf,,,
Mississippi,Disability/Workforce,Dept. of Employment Security,Disability Benefits Application (Workforce/UI),"Printable application for unemployment or disability benefits, ADA format options available.",PDF,https://mdes.ms.gov/forms/disability-workforce-application.pdf,,,
Mississippi,Vocational Rehabilitation,Dept. of Rehabilitation Services,Application for VR Services,"Eligibility and intake for VR, employment, medical documentation included.",PDF,https://www.mdrs.ms.gov/Documents/VRApplication.pdf,,,
Mississippi,Disability/Legal,Judicial Branch,ADA Accommodation Request—Courts,"Fillable, printable request for court accommodations and accessibility aid.",PDF,https://courts.ms.gov/forms/ADAAccommodationRequest.pdf,,,
Mississippi,Education/SpecialEd,Dept. of Education,Academic/Disability Forms—2025,"IEP/Sec 504 eligibility paperwork, fillable and screen-reader friendly.",PDF,https://www.mdek12.org/forms/iep5042025.pdf,,,
Mississippi,DMV/Disability,Dept. of Public Safety,Disabled Parking Permit Application,"All-in-one fillable permit application, with accessibility guidance included.",PDF,https://www.dps.ms.gov/forms/DisabilityParkingApplication.pdf,,,
Mississippi,Legal/Elder,Dept. of Aging,Legal Intake—Elder/Disabled,DOCX intake for elder law and disability public aid issues.,DOCX,https://www.mdhs.ms.gov/legal-intake.docx,,,
Missouri,Disability/Medical,Dept. of Health & Senior Services,Medical Disability Certification,Physician-completed state disability certification for Medicaid and SNAP; alternate formats as needed.,PDF,https://health.mo.gov/forms/disability-certification.pdf,,,
Missouri,Disability/Workforce,Dept. of Labor & Industrial Relations,UI/Workforce Disability/Unemployment Application,Print or fill online for disability and workforce unemployment initial claims.,PDF,https://labor.mo.gov/forms/UIWorkforceDisabilityApplication.pdf,,,
Missouri,Vocational Rehabilitation,Division of Vocational Rehabilitation,VR Services/Employment Intake Application,"Printable PDF; covers eligibility, alternate formats, interpreter services, and employment outcome documentation.",PDF,https://dese.mo.gov/forms/VRServicesIntake.pdf,,,
Missouri,Disability/Legal,Judicial Branch,ADA Accommodation/Grievance Request—Legal/Courts,Form for legal users or court visitors to request modifications (online and print).,PDF,https://www.courts.mo.gov/forms/ADAAccommodationRequest.pdf,,,
Missouri,Education/SpecialEd,Dept. of Elementary & Secondary Education,IEP/504 Forms Packet—2025,Comprehensive special ed and Section 504 documentation forms.,PDF,https://dese.mo.gov/forms/IEP504Packet2025.pdf,,,
Missouri,DMV/Disability,Dept. of Revenue,Disabled Person License Plate/Placard Application,"Standardized application for disability/medical permit, screen-reader accessible.",PDF,https://dor.mo.gov/forms/DisabledPersonPlacardApplication.pdf,,,
Missouri,Legal/Elder,Dept. of Health & Senior Services,Legal Intake—Elder/Disabled Public Benefits,DOCX remediation packet for legal aid cases (disability/elder).,DOCX,https://health.mo.gov/legal-intake.docx,,,
Montana,Disability/Medical,Dept. of Public Health & Human Services,Disability/Medical Certification for Public Assistance,"Used for Medicaid, SNAP, and SSI qualification (requires medical/psychologist sign-off).",PDF,https://dphhs.mt.gov/forms/disability-certification.pdf,,,
Montana,Disability/Workforce,Dept. of Labor & Industry,UI/Disability Benefits Application,PDF for initial UI/disability benefit applications and accessibility service selection.,PDF,https://dol.mt.gov/forms/ui-disability-benefits-application.pdf,,,
Montana,Vocational Rehabilitation,Dept. of Public Health & Human Services,VR Program Intake Application,"Eligibility and intake, employment, disability, accommodation requests included.",PDF,https://vr.mt.gov/forms/intake-vr.pdf,,,
Montana,Disability/Legal,Judicial Branch,ADA Accommodation Request—State Courts,Fillable and printable statewide ADA accommodation request.,PDF,https://courts.mt.gov/forms/ADAAccommodationRequest.pdf,,,
Montana,Education/SpecialEd,Dept. of Education,IEP/504 Forms Packet—2025,"State special ed and Section 504 eligibility, updated for school year.",PDF,https://opi.mt.gov/forms/iep504-forms.pdf,,,
Montana,DMV/Disability,Motor Vehicle Division,Disabled Parking Application/Placard,Standard Montana parking permit application for persons with disabilities.,PDF,https://mt.gov/transportation/forms/disabled-parking.pdf,,,
Montana,Legal/Elder,Dept. of Aging & Independent Living,Legal Intake—Elder/Disabled Public Benefits,"DOCX intake packet, remediation priority for accessible legal/elder services.",DOCX,https://dphhs.mt.gov/legal-intake.docx,,,
Nebraska,Disability/Medical,Dept. of Health & Human Services,Disability Determination Medical Statement,"Required medical certification for public benefit programs, ADA/Medicaid, with accessible format field.",PDF,https://dhhs.ne.gov/forms/DisabilityDetMedicalStatement.pdf,,,
Nebraska,Disability/Workforce,Dept. of Labor,Unemployment/Disability Benefits Application,"Fillable PDF for all program intakes (benefits, workforce support, ADA accommodation overview).",PDF,https://dol.nebraska.gov/forms/Unemployment-Disability-Benefits-Application.pdf,,,
Nebraska,Vocational Rehabilitation,Division of Vocational Rehabilitation,VR Program Application/Eligibility Verification,"Eligibility and intake for VR services—disability type, medical attestation, accommodation request.",PDF,https://vr.nebraska.gov/vrforms/ApplicationEligibilityVerification.pdf,,,
Nebraska,Disability/Legal,Judicial Branch,ADA Accommodation Request Court/Public,"Printable, online, and translation (alternative language available) format for accommodation requests.",PDF,https://supremecourt.nebraska.gov/forms/ada-accommodation-request,,,
Nebraska,Education/SpecialEd,Dept. of Education,IEP/Section 504 Forms Packet—2025,Special education & Section 504 statewide forms with accessibility tags.,PDF,https://www.education.ne.gov/forms/iep504forms2025.pdf,,,
Nebraska,DMV/Disability,Dept. of Motor Vehicles,Disabled Parking Permit Application,"All-in-one accessibility packet for DMV permits, physician signature required.",PDF,https://dmv.nebraska.gov/sites/dmv.nebraska.gov/files/files/forms/HandicappedParking.pdf,,,
Nebraska,Legal/Elder,Dept. of Health & Human Services,Legal Intake—Elder/Disabled,"DOCX legal intake packet, remediation for public benefits, fraud, paternity, or health service disputes.",DOCX,https://dhhs.ne.gov/forms/LegalServicesIntake.docx,,,
Nevada,Disability/Medical,Division of Welfare & Supportive Services,Disability/Medical Certification—TANF/SNAP/Medicaid,Requires doctor’s/NP’s/psychologist’s signature to certify ADA and economic benefits eligibility.,PDF,https://dwss.nv.gov/forms/DisabilityMedicalCertificationForm.pdf,,,
Nevada,Disability/Workforce,Dept. of Employment,Training & Rehabilitation,Workforce Disability Intake Packet—UI/ADA/VR,PDF,https://detr.nv.gov/forms/WorkforceDisabilityIntakePacket.pdf,,,
Nevada,Vocational Rehabilitation,Rehabilitation Division,VR/Pre-ETS Student Services Initial Application,Eligibility assessment for all VR and pre-employment transition services (fill/print).,PDF,https://www.nvdetr.org/forms/VRPre-ETSStudentServicesApplicationForm.pdf,,,
Nevada,Disability/Legal,Judicial Branch,ADA Court Accommodation Request,Nevada’s printable/online request for court system accessibility/modification.,PDF,https://nvcourts.gov/forms/adaccommodation,,,
Nevada,Education/SpecialEd,Dept. of Education,IEP/504 Forms—2025,"Special ed/504 forms, sample procedural safeguards, and translations.",PDF,https://doe.nv.gov/forms/IEP504Forms2025.pdf,,,
Nevada,DMV/Disability,Dept. of Motor Vehicles,Disabled Parking Permit Application,Accessible fields and instructions for disabled resident placards.,PDF,https://dmvnv.com/pdfforms/disabledparkingapp.pdf,,,
Nevada,Legal/Elder,Dept. of Health & Human Services,Legal/Elder Disability Intake,"DOCX intake, downloadable from senior and disability services, remediation target.",DOCX,https://dhhs.nv.gov/forms/LegalElderDisabilityIntake.docx,,,
New Hampshire,Disability/Medical,Dept. of Health & Human Services,Disability Medical Determination Form,Medical provider/psychology signature required for all disability program intakes.,PDF,https://www.dhhs.nh.gov/dfa/documents/disability-medical-determination.pdf,,,
New Hampshire,Disability/Workforce,Dept. of Employment Security,Unemployment/Disability Services Program Application,Classic ADA/alternate format intake with accessibility checklist.,PDF,https://www.nhes.nh.gov/nhesforms/ua-application.pdf,,,
New Hampshire,Vocational Rehabilitation,Dept. of Education,VR/Pre-Employment Transition Eligibility Application,"State's fillable pre-ETS/VR application, high accessibility and translations.",PDF,https://www.education.nh.gov/sites/g/files/ehbemt326/files/inline-documents/sonh/vr-pre-employment-training-application.pdf,,,
New Hampshire,Disability/Legal,Judicial Branch,ADA Court Accommodation Request,Standard accommodation/alternate format request for anyone using state courts/interpreters.,PDF,https://www.courts.nh.gov/forms/ada-accommodation-request.pdf,,,
New Hampshire,Education/SpecialEd,Dept. of Education,IEP/504 Forms—2025,Full IEP/Section 504 packet.,PDF,https://www.education.nh.gov/sites/g/files/ehbemt326/files/inline-documents/sonh/iep-forms-2025.pdf,,,
New Hampshire,DMV/Disability,Dept. of Safety,Disabled Parking Permit Application—DMV,"Accessible, certificate-verified parking placard/plate request.",PDF,https://www.nh.gov/safety/divisions/dmv/forms/documents/disabledparking.pdf,,,
New Hampshire,Legal/Elder,Dept. of Health & Human Services,Legal Intake—Elder/Disabled,"DOCX form for all public benefit/legal/elder disputes, remediation priority.",DOCX,https://www.dhhs.nh.gov/forms/legal-intake-elder-disabled.docx,,,
New Jersey,Disability/Medical,Dept. of Human Services,Disability/Medical Certification Form,"Certification required for Medicaid, SNAP, or employment-disability support by physician or provider.",PDF,https://www.state.nj.us/humanservices/forms/disability-medical-certification.pdf,,,
New Jersey,Disability/Workforce,Dept. of Labor & Workforce Development,UI/Disability/Workforce Application,"PDF application for all workforce, UI, and disability accommodations programs.",PDF,https://www.nj.gov/labor/forms/uidisabilityapplication.pdf,,,
New Jersey,Vocational Rehabilitation,Dept. of Vocational Rehabilitation Services,VR Client Intake Packet,"Intake, eligibility, translation, and alternate formats. Links to ADA and VR accommodation processes.",PDF,https://www.state.nj.us/humanservices/forms/vr-intake-packet.pdf,,,
New Jersey,Disability/Legal,Judiciary,Court ADA Accommodation Request,"Fillable and web-based request for interpreter, modification, or alternate format complaint process.",PDF,https://njcourts.gov/forms/ada-accommodation-request,,,
New Jersey,Education/SpecialEd,Dept. of Education,IEP/504 Forms—2025,All Section 504 and IDEA forms updated for current school year.,PDF,https://www.nj.gov/education/forms/iep504-2025.pdf,,,
New Jersey,DMV/Disability,Motor Vehicle Commission,Disabled Parking Permit Application,All-standard ADA-accessible DMV/placard application.,PDF,https://www.nj.gov/mvc/pdf/vehicles/SP-41.pdf,,,
New Jersey,Legal/Elder,Dept. of Human Services,Legal Intake—Elder/Disabled,"DOCX remediation-ready intake, benefits, and complaint documentation.",DOCX,https://www.state.nj.us/humanservices/forms/legal-intake-elder-disabled.docx,,,
New Mexico,Disability/Medical,Dept. of Health,Disability Certification for Medicaid/Employment,"Medical/mental evaluation for social services, adult/child disability programs, or employment training.—Remediation priority.",PDF,https://www.nmhealth.org/publication/view/form/3702/,,,
New Mexico,Disability/Workforce,Dept. of Workforce Solutions,Disability and Workforce Application/Accommodations,"One-stop PDF for UI and workforce training, alternate requests and interpreter info included.",PDF,https://www.dws.state.nm.us/Portals/0/DM-UI-Disability-Accommodations.pdf,,,
New Mexico,Vocational Rehabilitation,Division of Vocational Rehabilitation,VR Services Application & Intake Packet,"Packets, eligibility, and translation for all VR/UI services.",PDF,https://www.dvr.state.nm.us/forms/VRApplIntake.pdf,,,
New Mexico,Disability/Legal,Judicial Branch,ADA Accommodation Request Court/Public,"Court ADA fillable for all users, all locations, translation note.",PDF,https://www.nmcourts.gov/forms/ada-accommodation-request.pdf,,,
New Mexico,Education/SpecialEd,Dept. of Education,IEP/504 Forms Packet—2025,"Full official special ed and Section 504 packet, 2025 edition.",PDF,https://webnew.ped.state.nm.us/bureaus/special-education/forms/iep504packet2025.pdf,,,
New Mexico,DMV/Disability,Motor Vehicle Division,Application for Mobility Impaired (Disabled) Placard/Plate,"Accessible disability parking form, English/Spanish, digital and paper submittal.",PDF,https://www.mvd.newmexico.gov/forms/disabledplacardapp.pdf,,,
New Mexico,Legal/Elder,Dept. of Aging & Long-Term Services,Legal Intake—Elder/Disability,"DOCX intake form, elder law/disability benefits/appeals (remediation focus).",DOCX,https://nmaging.state.nm.us/forms/legalintakeelderdisability.docx,,,
New York,Disability/Medical,Dept. of Health,Disability Certification Application/Provider Form,"Standard for Medicaid, SNAP, SSI, subsidized housing, or employment.",PDF,https://www.health.ny.gov/forms/disability-certification.pdf,,,
New York,Disability/Workforce,Dept. of Labor,Unemployment/Disability Benefits Application,"UI and disability claim form—online and printable versions, with ADA options.",PDF,https://dol.ny.gov/forms/unemployment-disability-application.pdf,,,
New York,Vocational Rehabilitation,Office of Adult Career and Continuing Ed Services,VR Eligibility and Intake Packet,"Full eligibility with disability, employment, and education records.",PDF,https://www.acces.nysed.gov/vr/forms/vr-eligibility-packet.pdf,,,
New York,Disability/Legal,Judicial Branch,ADA Accommodation Request (Courts/Public),Fillable statewide ADA accommodation form with alternate format and interpreter requests (all 62 counties).,PDF,https://www.nycourts.gov/courthelp/ADA/acc-request-form.pdf,,,
New York,Education/SpecialEd,State Education Department,IEP & 504 Parent Consent and Notices,Full packet for parent/student documentation for special education and Section 504.,PDF,https://www.nysed.gov/forms/parentconsent-iep504.pdf,,,
New York,DMV/Disability,Dept. of Motor Vehicles,Application for Parking Permit or License Plates for People with Disabilities,Most-used accessible DMV form in NY—all counties covered; medical and certification sections.,PDF,https://dmv.ny.gov/forms/parking.pdf,,,
New York,Legal/Elder,Office for the Aging,Legal Intake—Elder/Disabled,DOCX/printable intake for legal/public benefit disputes—remediation priority.,DOCX,https://aging.ny.gov/forms/legalintake-elder-disabled.docx,,,
Ohio,Disability/Medical,Dept. of Medicaid,Disability Evaluation/Medical Certification,"For employment, Medicaid, and related DSS programs (fillable PDF/online options).",PDF,https://medicaid.ohio.gov/forms/disability-certification.pdf,,,
Ohio,Disability/Workforce,Dept. of Job & Family Services,UC/Disability/Unemployment Application,"First step for all applicants, with substantial ADA and accessibility guidance.",PDF,https://jfs.ohio.gov/forms/UC-disability-unemployment-application.pdf,,,
Ohio,Vocational Rehabilitation,Opportunities for Ohioans with Disabilities,VR Employment Intake/Eligibility,"Fillable PDF, alternate format available—medical, functional, and accommodations sections.",PDF,https://ood.ohio.gov/wps/wcm/connect/gov/ood/forms/vr-employment-application.pdf,,,
Ohio,Disability/Legal,Judicial Branch,ADA Accommodation Request Court/Public,"Statewide ADA modifications and interpreter request, with translation included in all regions.",PDF,https://www.supremecourt.ohio.gov/forms/adaAccommodationForm.pdf,,,
Ohio,Education/SpecialEd,Dept. of Education,IEP & Section 504 Processing (Parent Forms),"Updated annual IEP packet, with accessibility/alternate language statements.",PDF,https://education.ohio.gov/forms/IEP504ParentForms.pdf,,,
Ohio,DMV/Disability,Bureau of Motor Vehicles,Disability Parking Placard Application,"For individuals and organizations, fillable and accessible, with all medical validation required.",PDF,https://www.bmv.ohio.gov/doc-forms/DisabilityParkingPlacard.pdf,,,
Ohio,Legal/Elder,Dept. of Aging,Legal Intake—Elder/Disabled,DOCX legal/remediation packet for public benefit and health access complaints/appeals.,DOCX,https://aging.ohio.gov/forms/LegalIntakeElderDisabled.docx,,,
Oklahoma,Disability/Medical,Dept. of Human Services,Disability Physician Certification Form,"For all adult/child Medicaid, SNAP, and public disability determinations.",PDF,https://oklahoma.gov/okdhs/documents/disability-physician-certification.pdf,,,
Oklahoma,Disability/Workforce,Employment Security Commission,UI & Disability Workforce Benefits Application,"Central filling, covers workforce, unemployment, and accommodations.",PDF,https://www.ok.gov/oesc_forms/UI-Disability-App.pdf,,,
Oklahoma,Vocational Rehabilitation,Dept. of Rehabilitation Services,VR Intake/Eligibility Packet,Printable forms translation and alternate language/ADA options included.,PDF,https://www.okdrs.gov/forms/VR-Eligibility-Intake.pdf,,,
Oklahoma,Disability/Legal,Court System,ADA Accommodation/Interpreter Request—Courts,"Standard for all court users/public, printable and e-form access.",PDF,https://www.oscn.net/forms/ADAAccommodationRequest.pdf,,,
Oklahoma,Education/SpecialEd,State Dept. of Education,IEP/504 Forms Packet 2025,"Parent/teacher/student disability, IEP, and Section 504 packet.",PDF,https://sde.ok.gov/forms/iep-504-packet.pdf,,,
Oklahoma,DMV/Disability,Dept. of Public Safety,Disability Parking Permit Application,Fill-in ADA printable for all DMV/plate/disability permit uses.,PDF,https://oklahoma.gov/dps/documents/disability-parking-application.pdf,,,
Oklahoma,Legal/Elder,Dept. of Human Services,Legal Intake—Elderly & Disabled,"DOCX remediation-intake, health access and public benefit legal matters.",DOCX,https://oklahoma.gov/okdhs/documents/legal-elder-disabled-intake.docx,,,
Oregon,Disability/Medical,Dept. of Human Services,Disability/Medical Certification Packet,"Multi-purpose certification for SNAP, Medicaid, state benefits—fillable, accessible PDF.",PDF,https://www.oregon.gov/dhs/Forms/Disability-Medical-Certification.pdf,,,
Oregon,Disability/Workforce,Employment Dept.,UI & Disability Workforce Intake Application,All unemployment/workforce benefit application—accommodations at every step.,PDF,https://www.oregon.gov/employ/Unemployment-Disability-Benefits-Application.pdf,,,
Oregon,Vocational Rehabilitation,Vocational Rehabilitation Services,VR Application—Employment & Services,"ADA-accessible PDF, alternate submission modes for disabled, translation note.",PDF,https://www.oregon.gov/dhs/vr/Documents/VR-Employment-Services-Application.pdf,,,
Oregon,Disability/Legal,Judicial Department,Courts ADA Accommodation & Interpreter Request,"Statewide assistive technology, language, modification, and accessibility request form.",PDF,https://www.courts.oregon.gov/forms/Documents/ADA-Accommodation-Request.pdf,,,
Oregon,Education/SpecialEd,Dept. of Education,IEP/504 Parent/Teacher Packet—2025,IEP/504 record—parent and teacher documentation for all Oregon schools.,PDF,https://www.oregon.gov/ode/forms/iep504-packet2025.pdf,,,
Oregon,DMV/Disability,Division of Motor Vehicles,Parking Permit/Disability Placard Application,"Accessible and screen-reader enabled, for all plates/placards/disability documentation.",PDF,https://www.oregon.gov/ODOT/DMV/docs/disability-parking-permit.pdf,,,
Oregon,Legal/Elder,Dept. of Human Services,Legal Intake/Remediation—Elder/Disabled,"DOCX intake for all public aid, health, nursing home, and disability legal work (remediation).",DOCX,https://www.oregon.gov/dhs/Forms/LegalIntakeElderDisabled.docx,,,
Pennsylvania,Disability/Medical,Dept. of Human Services,Disability Medical Assessment Form,"Physician assessment required for Medicaid, SSI, and related state benefits. Accessible/fillable print.",PDF,https://www.dhs.pa.gov/forms/disability-medical-assessment.pdf,,,
Pennsylvania,Disability/Workforce,Dept. of Labor & Industry,Workforce Benefits Application—Workforce/ADA,"UI, WIOA, and workforce services packet—accessible PDF and translations.",PDF,https://www.dli.pa.gov/forms/Documents/UI/Disability-ADA-Services-Application.pdf,,,
Pennsylvania,Vocational Rehabilitation,Office of Vocational Rehabilitation,VR Intake/Eligibility Packet,PDF eligibility/evaluation packet for all disabled and youth-adult VR applicants.,PDF,https://www.dli.pa.gov/Individuals/Disability-Services/Documents/VR-eligibility-intake.pdf,,,
Pennsylvania,Disability/Legal,Unified Judicial System,ADA Accommodation/Interpreter Request—Courts,Main accommodation/interpreter/alternate format request for all state courts/pub services.,PDF,https://www.pacourts.us/assets/files/ADA-Accommodation-Request.pdf,,,
Pennsylvania,Education/SpecialEd,Dept. of Education,IEP/504 Parent/Guardian Forms—2025,"Special education, IDEA, 504 eligibility, parent, and interpreter filings.",PDF,https://www.education.pa.gov/forms/IEP504Parents2025.pdf,,,
Pennsylvania,DMV/Disability,Dept. of Transportation,Disabled Parking Placard/Plate Application,"Accessible, fillable PDF for all individuals/organizations with disability parking privileges.",PDF,https://www.dot.state.pa.us/public/pdf/DisabilityParkingPlacard.pdf,,,
Pennsylvania,Legal/Elder,Dept. of Aging,Legal Intake—Elder/Disabled,"DOCX intake for all legal work/public benefit for elders and disabled, flagged for remediation.",DOCX,https://www.aging.pa.gov/forms/LegalIntakeElderDisabled.docx,,,
Rhode Island,Disability/Medical,Executive Office of Health & Human Services,Disability/Medical Certification Packet,"Medical eligibility for Medicaid, SNAP, and other programs—ADA-checklist attached.",PDF,https://eohhs.ri.gov/forms/DisabilityMedicalCertification.pdf,,,
Rhode Island,Disability/Workforce,Dept. of Labor & Training,Workforce/ADA Application,"All workforce-supporting and disability/benefit applicants use this, compression ADA notice included.",PDF,https://dlt.ri.gov/sites/g/files/xkgbur571/files/2021-06/Workforce-Disability-Application.pdf,,,
Rhode Island,Vocational Rehabilitation,Office of Rehabilitation Services,VR Intake Eligibility Application,"Eligibility, ADA modifications, and translation aid option notes.",PDF,https://ors.ri.gov/documents/vr-intake-application.pdf,,,
Rhode Island,Disability/Legal,Judiciary,Courts ADA Accommodation Form Request,"Universal printable for all court users needing modification, interpreter, or alt format.",PDF,https://www.courts.ri.gov/forms/ADA-Accommodation-Request.pdf,,,
Rhode Island,Education/SpecialEd,Dept. of Education,IEP/504 Packet,"Special education/Section 504 parent, teacher, and service provider packet.",PDF,https://ride.ri.gov/sites/g/files/xkgbur806/files/2022-10/IEP504Packet2025.pdf,,,
Rhode Island,DMV/Disability,Division of Motor Vehicles,Application for Disabled Parking Placard/Plate,Physician and ADA-accessible form with alternate language options.,PDF,https://www.dmv.ri.gov/documents/disabledparkingapp.pdf,,,
Rhode Island,Legal/Elder,Office of Healthy Aging,Elder/Disability Legal Intake/Complaint,"DOCX complaint/intake for elder/disability law, flagged for remediation.",DOCX,https://oha.ri.gov/forms/ElderDisabilityLegalIntake.docx,,,
South Carolina,Disability/Medical,Dept. of Health & Human Services,Disability Medical Assessment Form,"All Medicaid, state DDS requests for disability status, with accessibility option.",PDF,https://www.scdhhs.gov/sites/default/files/Form_Disability_MedicalAssessment.pdf,,,
South Carolina,Disability/Workforce,Dept. of Employment & Workforce,"Unemployment, Workforce, and Disability Benefits Application",Fillable UI and workforce packet with ADA coverage throughout.,PDF,https://dew.sc.gov/forms/ui-workforce-disability.pdf,,,
South Carolina,Vocational Rehabilitation,Dept. of Vocational Rehabilitation,VR Services Client Intake/Eligibility,Fillable and accessible (translation/interpreter checkbox) document.,PDF,https://scvrd.net/wp-content/uploads/VRClientIntakeEligibilityForm.pdf,,,
South Carolina,Disability/Legal,Judicial Branch,Courts ADA Accom./Interpreter Request,Standard for all S.C. court users and professionals (alt-language forms available).,PDF,https://www.sccourts.org/forms/ADAInterpreterRequest.pdf,,,
South Carolina,Education/SpecialEd,Dept. of Education,Special Education IEP/504 Forms—2025,Fully accessible IEP/504 packet.,PDF,https://ed.sc.gov/forms/special-ed-504-packet2025.pdf,,,
South Carolina,DMV/Disability,Department of Motor Vehicles,DMV Disability Parking Placard/Plate Application,"Physician-completed form, includes accommodations and privacy statement.",PDF,https://www.scdmvonline.com/DMVPublic/PublicForms/DisabilityParkingPlacardApplication.pdf,,,
South Carolina,Legal/Elder,Dept. of Aging,Intake for Legal/Elder Disability,"DOCX public benefit and complaint intake, flagged for remediation.",DOCX,https://aging.sc.gov/forms/LegalIntakeElderDisability.docx,,,
